1989 FIFA Futsal World Championship,1989,Netherlands
18 September 2016,16:00,Kazakhstan,10–0,Solomon Islands
12 September 2016,18:00,Morocco,0–5,Azerbaijan
12 September 2016,20:00,Iran,1–5,Spain
15 September 2016,18:00,Azerbaijan,2–4,Spain
15 September 2016,20:00,Iran,5–3,Morocco
18 September 2016,18:00,Azerbaijan,3–3,Iran
18 September 2016,18:00,Spain,4–3,Morocco
20 September 2016,17:30,Russia,7–0,Vietnam
20 September 2016,20:00,Colombia,2–3,Paraguay
21 September 2016,17:30,Brazil,2–3,Iran
21 September 2016,17:30,Spain,5–2,Kazakhstan
21 September 2016,20:00,Portugal,4–0,Costa Rica
22 September 2016,17:30,Argentina,1–0,Ukraine
22 September 2016,17:30,Thailand,8–13,Azerbaijan
22 September 2016,20:00,Italy,3–4,Egypt
24 September 2016,15:30,Paraguay,3–4,Iran
24 September 2016,18:00,Russia,6–2,Spain
25 September 2016,15:30,Argentina,5–0,Egypt
25 September 2016,18:00,Azerbaijan,2–3,Portugal
27 September 2016,19:00,Iran,3–4,Russia
28 September 2016,19:00,Argentina,5–2,Portugal
1 October 2016,12:00,Iran,4–3,Portugal
1 October 2016,14:30,Russia,4–5,Argentina
2020 FIFA Futsal World Cup,2020,Lithuania
